Persona;Numero_pregunta;Descripcion_pregunta;Respuesta;Numero_respuesta
1;1a;"Si las medidas del casetón 
están de acuerdo al plano, 
¿Cómo te sentirías?";2. Debería de ser de esa forma;2
1;1b;"Si las medidas del casetón no 
están de acuerdo al plano, 
¿Cómo te sentirías?";5. Me disgusta de esa forma;5
1;2a;"Si existe la Visualización del 
pedido vía una app, 
¿Cómo te sentirías?";1. Me gusta de esa forma;1
1;2b;"Si no existe la Visualización del 
pedido vía una app, ¿Cómo te 
sentirías?";4. Puedo vivir de esa manera;4
1;3a;"Si la densidad del casetón es 
correcta, ¿Cómo te sentirías?";2. Debería de ser de esa forma;2
1;3b;"Si la densidad del casetón no es 
correcta, ¿Cómo te sentirías?";3. Estoy neutral;3
1;4a;"Si el casetón tiene un certificado de 
calidad, ¿Cómo te sentirías?";1. Me gusta de esa forma;1
1;4b;"Si el casetón no tiene un certificado de 
calidad, ¿Cómo te sentirías?";3. Estoy neutral;3
1;5a;"Si el empaque llega en diferentes 
colores dependiendo el tipo de 
densidad, ¿Cómo te sentirías?";3. Estoy neutral;3
1;5b;"Si el empaque no llega en diferentes 
colores dependiendo el tipo de 
densidad, ¿Cómo te sentirías?";4. Puedo vivir de esa manera;4
1;6a;"Si los choferes de unidades llegan con el 
uniforme de MEDISA, ¿Cómo te 
sentirías?";3. Estoy neutral;3
1;6b;Si los choferes de unidades no llegan con el uniforme de MEDISA, ¿Cómo te sentirías?;3. Estoy neutral;3
2;1a;"Si las medidas del casetón 
están de acuerdo al plano, 
¿Cómo te sentirías?";2. Debería de ser de esa forma;2
2;1b;"Si las medidas del casetón no 
están de acuerdo al plano, 
¿Cómo te sentirías?";5. Me disgusta de esa forma;5
2;2a;"Si existe la Visualización del 
pedido vía una app, 
¿Cómo te sentirías?";1. Me gusta de esa forma;1
2;2b;"Si no existe la Visualización del 
pedido vía una app, ¿Cómo te 
sentirías?";4. Puedo vivir de esa manera;4
2;3a;"Si la densidad del casetón es 
correcta, ¿Cómo te sentirías?";2. Debería de ser de esa forma;2
2;3b;"Si la densidad del casetón no es 
correcta, ¿Cómo te sentirías?";5. Me disgusta de esa forma;5
2;4a;"Si el casetón tiene un certificado de 
calidad, ¿Cómo te sentirías?";1. Me gusta de esa forma;1
2;4b;"Si el casetón no tiene un certificado de 
calidad, ¿Cómo te sentirías?";3. Estoy neutral;3
2;5a;"Si el empaque llega en diferentes 
colores dependiendo el tipo de 
densidad, ¿Cómo te sentirías?";3. Estoy neutral;3
2;5b;"Si el empaque no llega en diferentes 
colores dependiendo el tipo de 
densidad, ¿Cómo te sentirías?";5. Me disgusta de esa forma;5
2;6a;"Si los choferes de unidades llegan con el 
uniforme de MEDISA, ¿Cómo te 
sentirías?";3. Estoy neutral;3
2;6b;Si los choferes de unidades no llegan con el uniforme de MEDISA, ¿Cómo te sentirías?;3. Estoy neutral;3
3;1a;"Si las medidas del casetón 
están de acuerdo al plano, 
¿Cómo te sentirías?";2. Debería de ser de esa forma;2
3;1b;"Si las medidas del casetón no 
están de acuerdo al plano, 
¿Cómo te sentirías?";5. Me disgusta de esa forma;5
3;2a;"Si existe la Visualización del 
pedido vía una app, 
¿Cómo te sentirías?";1. Me gusta de esa forma;1
3;2b;"Si no existe la Visualización del 
pedido vía una app, ¿Cómo te 
sentirías?";4. Puedo vivir de esa manera;4
3;3a;"Si la densidad del casetón es 
correcta, ¿Cómo te sentirías?";2. Debería de ser de esa forma;2
3;3b;"Si la densidad del casetón no es 
correcta, ¿Cómo te sentirías?";5. Me disgusta de esa forma;5
3;4a;"Si el casetón tiene un certificado de 
calidad, ¿Cómo te sentirías?";1. Me gusta de esa forma;1
