Person,Attribute,Question_number,Description_positive_ques,Positive_response,Positive_response_number,Description_negative_ques,Negative_response,Negative_response_number,Kano_response
1,"Measurements according 
to the drawing",1,"If the dimensions of 
the cassette are according 
to the plan, 
How would you feel?",It should be that way,2,"If the dimensions of 
the cassette are not 
according to the plan, 
How would you feel?",I dislike it that way,5,Must be
1,"Visualization of the order
via an app",2,"If there is a Visualization 
of the order via an app, 
How would you feel?",I like it that way,1,"If there is not a Visualization 
of the order via an app, 
How would you feel?",I can live that way,4,Attractive
1,Correct density,3,"If the density of the 
cassette is correct, 
how would you feel?",It should be that way,2,"If the density of the 
cassette is not correct, 
how would you feel?",I am neutral,3,Indifferent
1,"Cassette with quality 
certificate",4,"If the cassette has a 
certificate of quality, 
How would you feel?",I like it that way,1,"If the cassette has not a 
certificate of quality, 
How would you feel?",I am neutral,3,Attractive
1,"Packaging in different 
colors depending on 
the type of density",5,"If the packaging arrives in 
different colors 
depending on the type 
of density, how would 
would you feel?",I am neutral,3,"If the packaging does 
not arrive in 
different colors 
depending on the type 
of density, how would 
would you feel?",I can live that way,4,Indifferent
1,"Drivers with MEDISA 
uniforms",6,"If the drivers of the units 
arrive in the MEDISA uniform, 
how would you feel?",I am neutral,3,"If the drivers of the units 
do not arrive in MEDISA uniform, 
how would you feel?",I am neutral,3,Indifferent
2,"Measurements according 
to the drawing",1,"If the dimensions of 
the cassette are according 
to the plan, 
How would you feel?",It should be that way,2,"If the dimensions of 
the cassette are not 
according to the plan, 
How would you feel?",I dislike it that way,5,Must be
2,"Visualization of the order
via an app",2,"If there is a Visualization 
of the order via an app, 
How would you feel?",I like it that way,1,"If there is not a Visualization 
of the order via an app, 
How would you feel?",I can live that way,4,Attractive
2,Correct density,3,"If the density of the 
cassette is correct, 
how would you feel?",It should be that way,2,"If the density of the 
cassette is not correct, 
how would you feel?",I dislike it that way,5,Must be
2,"Cassette with quality 
certificate",4,"If the cassette has a 
certificate of quality, 
How would you feel?",I like it that way,1,"If the cassette has not a 
certificate of quality, 
How would you feel?",I am neutral,3,Attractive
2,"Packaging in different 
colors depending on 
the type of density",5,"If the packaging arrives in 
different colors 
depending on the type 
of density, how would 
would you feel?",I am neutral,3,"If the packaging does 
not arrive in 
different colors 
depending on the type 
of density, how would 
would you feel?",I dislike it that way,5,Must be
2,"Drivers with MEDISA 
uniforms",6,"If the drivers of the units 
arrive in the MEDISA uniform, 
how would you feel?",I am neutral,3,"If the drivers of the units 
do not arrive in MEDISA uniform, 
how would you feel?",I am neutral,3,Indifferent
3,"Measurements according 
to the drawing",1,"If the dimensions of 
the cassette are according 
to the plan, 
How would you feel?",It should be that way,2,"If the dimensions of 
the cassette are not 
according to the plan, 
How would you feel?",I dislike it that way,5,Must be
3,"Visualization of the order
via an app",2,"If there is a Visualization 
of the order via an app, 
How would you feel?",I like it that way,1,"If there is not a Visualization 
of the order via an app, 
How would you feel?",I can live that way,4,Attractive
3,Correct density,3,"If the density of the 
cassette is correct, 
how would you feel?",It should be that way,2,"If the density of the 
cassette is not correct, 
how would you feel?",I dislike it that way,5,Must be
