talk_time;duration;media_type;case_number;email_subject;Comments;call Id
913;1012;VOICE;N/A;No disponible;malas medidas;11D2F6EAA16B4E32BC16AF65E883D25F
328;556;VOICE;N/A;No disponible;Medidas incorrectas;E37FEA3A6DD140F093F0C78E570FFA27
413;779;VOICE;N/A;No disponible;medidas incorrectas;17566D0DC8AA46DDBD57EA940CE0CB48
140;292;VOICE;N/A;No disponible;entregas tarde;4C3D49E3A37149738F95B26CF52D4B61
185;249;VOICE;N/A;No disponible;Malas medidas;E3FADE0FAD7440F3B34A8938CC9B075D
556;675;VOICE;N/A;No disponible;Malas medidas;068384ACF3DE415CA4B0E8C9FFC41C1E
214;291;VOICE;N/A;No disponible;Entregas no a tiempo;A66C676F9F0A42AC86B5DF5373D51030
110;187;VOICE;N/A;No disponible;Entregas;7A3672FE52BC4094854B94D33F599953
213;269;VOICE;N/A;No disponible;Incumplimiento en la entrega;D5E28AD387AC4E3CAF75A4E51D73C3D0
440;519;VOICE;N/A;No disponible;Malas medidas;7F6C3DD0AD32442ABB4EC369B6EB400D
125;278;VOICE;N/A;No disponible;malas medidas;AAFC618D40DA4EFD865844DFB390ABB2
106;192;VOICE;N/A;No disponible;Malas medidas;32FAE9DD68EE499B843324F2696E3B92
237;439;VOICE;N/A;No disponible;malas medidas;B5F1741AF9D94B779EE11BB0601E3BD8
415;518;VOICE;N/A;No disponible;Medidas no cumplen especificaciones;555C2617BB6046C48758A7D2003B49AD
286;551;VOICE;N/A;No disponible;Medidas no cumplen especificaciones;92103EFF3A6842E28056A38F2961AC44
242;314;VOICE;N/A;No disponible;Entrega tardía;A88A1077EC3140DF953319979868BE0F
213;293;VOICE;N/A;No disponible;Entregas tardia;139A41AC2EFC4383A2ED8EA5C6E3BB2A
92;167;VOICE;N/A;No disponible;Medidas incorrectas;78F04BB53F8645DA8707B2AF59236485
178;302;VOICE;N/A;No disponible;Medidas incorrectas;7ED205C2ACD64D6CB8954434460F1538
417;506;VOICE;N/A;No disponible;Incumplimiento en la entrega;E62742F4EE9D4652B15ED05B1FA14527
76;186;VOICE;N/A;No disponible;incumplimiento en la entrega;16B8E4A8281C41B684A6F4ED1A6A6170
157;350;VOICE;N/A;No disponible;medidas incorrectas;1A39B286DA6D415E84D1F9159236CB75
161;235;VOICE;N/A;No disponible;Medidas incorrectas;DF576AC05931498388545DF26A90C4B1
343;418;VOICE;N/A;No disponible;Cantidad no adecuada;9A41F014D3D0480EB4A69B366AE25EAA
878;902;VOICE;N/A;No disponible;Medidas incorrectas;A557622D7B3A4337AFF8ABDDEF4E0D2C
159;218;VOICE;N/A;No disponible;medidas incorrectas;075F17B36DF84BC8A934EB48AB06DACD
525;591;VOICE;N/A;No disponible;densidad no correcta;E5246D53D7774E41A5F993E93E303D53
213;594;VOICE;N/A;No disponible;medidas incorrectas;D81EC48357294B27A2E4BE4F9F11D55F
58;135;VOICE;N/A;No disponible;Medidas incorrectas;D05C2990B8364268AC84D44168D4C3FD
421;493;VOICE;N/A;No disponible;medidas incorrectas;90073A9F14314661AF87926EF207F6FE
509;593;VOICE;N/A;No disponible;Densidad no correcta;39E6E19878F84D1E8F672E62330E8875
344;413;VOICE;N/A;No disponible;Medidas incorrectas;CCE5EFC0C8C74022B696D2FC149B2C10
99;172;VOICE;N/A;No disponible;medidas no cumplen especificaciones;43D1115A8133455796141B966FF29DEE
198;233;VOICE;N/A;No disponible;Medidas incorrectas;8F581E8B8D7745CD9F75F1D01A0407CD
78;215;VOICE;N/A;No disponible;Medidas incorrectas;AC62364998F64037B243560C5A1F3BEC
303;381;VOICE;N/A;No disponible;Medidas incorrectas;ED96AE1F9DFC4DBA8ED1A7E8B6C6C98C
332;450;VOICE;N/A;No disponible;Medidas incorrectas;98D7F5D0736F4220B97362C112900C77
69;182;VOICE;N/A;No disponible;incumplimiento en la entrega;A3AA4DD5FB734AD1AF8B235279994D83
224;289;VOICE;N/A;No disponible;Medidas;1F940B6793C14B95B766480BAD4F215C
513;570;VOICE;N/A;No disponible;entregas no a tiempo;01FDB88CEFA9490FAAD421847513BCBF
57;223;VOICE;N/A;No disponible;Medidas no cumplen especificaciones;ED767C2C51EA47D1B74CF5BC6F3311E9
440;625;VOICE;N/A;No disponible;medidas no cumplen especificaciones;AFA83C9BF6F74675B4BA08D7A904E224
153;237;VOICE;N/A;No disponible;Medidas no cumplen especificaciones;EAAA3F1BE9FF4F0E9A934B1B6D995AD8
331;413;VOICE;N/A;No disponible;Densidad incorrecta;FAA0254A210847BD8E24E1317F089D1F
260;599;VOICE;N/A;No disponible;Medidas no cumplen especificaciones;AE187498F91544FDA21A2A40A64D3FE9
197;394;VOICE;N/A;No disponible;Medidas incorrectas;6C67FE85EE794F66A138C2F7C6695BF7
345;731;VOICE;N/A;No disponible;entregas no a tiempo;1B5C0CA251D54588A1C20FEF18041ACA
152;287;VOICE;N/A;No disponible;Medidas no cumplen especificaciones;1B7FAE2F86A74D6EA3FBA9CBDD8BE81C
205;299;VOICE;N/A;No disponible;medidas no cumplen especificaciones;0EAB7A54B18A48B5882A12E737BA81C7
538;624;VOICE;N/A;No disponible;Medidas no cumplen especificaciones;E982F13B152545029733B6426D254274
86;141;VOICE;N/A;No disponible;Medidas incorrectas;B35B208C63554E0CAD319A74221D5270
720;846;VOICE;N/A;No disponible;Medidas no cumplen especificaciones;64ABBBEFB7CF4EFBB703E25E4DB468A4
267;384;VOICE;N/A;No disponible;Medidas;52CB87A080354EF89E2921CBCAF3F7D1
240;317;VOICE;N/A;No disponible;Entregas tarde;3ED9FCD8C9F7408587D17A315C34F4A3
139;200;VOICE;N/A;No disponible;entregas tarde;69C5D289B21047EFAB2D06980054B6E8
172;254;VOICE;N/A;No disponible;Medidas no cumplen especificaciones;1B0B543B8DA048B38F0DE8CFDFE47823
286;390;VOICE;N/A;No disponible;Malas medidas;5605B1DCAB1A4911A6AB716310EBB1CD
395;507;VOICE;N/A;No disponible;Densidad no correcta;19720679B04A45C4B5A2E518A608DF8F
460;576;VOICE;N/A;No disponible;Medidas;CA12111FEBBA4845BF368DD85271D6FE
395;501;VOICE;N/A;No disponible;densidad incorrecta;75691E96FBFA4593AB368E56829AA876
264;310;VOICE;N/A;No disponible;Medidas no cumplen especificaciones;4F6D61025DDF49C4A55ECBADAD3D317C
139;214;VOICE;N/A;No disponible;Medidas;97C7F005B91E4A9BA69450E9998F3E8A
223;289;VOICE;N/A;No disponible;Medidas Incorrectas;2195DA351A894A53ACC6BEAE40CDCF30
313;402;VOICE;N/A;No disponible;Medidas no cumplen especificaciones;9B8F1C3FF44A481D937B79EA3D706145
101;180;VOICE;N/A;No disponible;Entregas tarde;12C96ADE8D6E443E8611F4965F602978
734;913;VOICE;N/A;No disponible;Medidas no cumplen especificaciones;00208AAF18C64FC2999D5A1533F49A01
718;839;VOICE;N/A;No disponible;medidas no cumplen especificaciones;8B9A32C38B0C483183529FF9F62C8853
355;426;VOICE;N/A;No disponible;malas medidas;EFC46AF5CA314DCCA1358A2894AC751F
99;176;VOICE;N/A;No disponible;Entregas tarde;46DDB9AC3A3749C08F5A501B4D8B31FC
242;368;VOICE;N/A;No disponible;Malas medidas;92750813B23A41C2B7846BF83930BA88
228;506;VOICE;N/A;No disponible;medidas incorrectas;4B6B83C5BD7344F19C65D79C01E3F9CD
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
