Product,Comments,Status,Type of defect
Standard polystyrene case,"Width measurement 
does not match",,Width
Standard polystyrene case,"Width measurement 
does not match",,Width
Standard polystyrene case,"Width does 
not match",,Width
Standard polystyrene case,"Width does 
not match",,Width
Standard polystyrene case,"Width does 
not match",,Width
Standard polystyrene case,Incorrect width,,Width
Standard polystyrene case,"Width measurement 
does not match",,Width
Standard polystyrene case,"Width measurement 
does not match",,Width
Standard polystyrene case,"Width measurement 
does not match",,Width
Standard polystyrene case,"Width measurement 
does not match",,Width
Standard polystyrene case,"Width measurement 
does not match",,Width
Standard polystyrene case,"Width measurement 
does not match",,Width
Standard polystyrene case,"Width does 
not match",,Width
Standard polystyrene case,"Width does 
not match",,Width
Standard polystyrene case,"Width measurement 
does not match",,Width
Standard polystyrene case,"Width measurement 
does not match",,Width
Standard polystyrene case,"Width does 
not match",,Width
Standard polystyrene case,"Width does 
not match",,Width
Standard polystyrene case,"Width measurement 
does not match",,Width
Standard polystyrene case,"Width measurement 
does not match",,Width
Standard polystyrene case,"Width does 
not match",,Width
Standard polystyrene case,Incorrect width,,Width
Standard polystyrene case,Incorrect width,,Width
Standard polystyrene case,"Width measurement 
does not match",,Width
Standard polystyrene case,Incorrect width,,Width
Standard polystyrene case,Incorrect width,,Width
Standard polystyrene case,Incorrect width,,Width
Standard polystyrene case,Width not correct,,Width
Standard polystyrene case,"Length measurement 
does not match",,Length
Standard polystyrene case,"Length does 
not match",,Length
Standard polystyrene case,Width not correct,,Width
Standard polystyrene case,"Length does 
not match",,Length
Standard polystyrene case,Incorrect width,,Width
Standard polystyrene case,"Width measurement 
does not match",,Width
Standard polystyrene case,"Width measurement 
does not match",,Width
Standard polystyrene case,Width not correct,,Width
Standard polystyrene case,"Width measurement 
does not match",,Width
Standard polystyrene case,Incorrect width,,Width
Standard polystyrene case,"Width does 
not match",,Width
Standard polystyrene case,"Width does 
not match",,Width
Standard polystyrene case,"Width does 
not match",,Width
Standard polystyrene case,"Length measurement 
is incorrect",,Length
Standard polystyrene case,"Width does 
not match",,Width
Standard polystyrene case,Width not correct,,Width
Standard polystyrene case,Width not correct,,Width
Standard polystyrene case,"The thickness of 
the caseton does 
not match",,Thickness
Standard polystyrene case,"Width does 
not match",,Width
Standard polystyrene case,"Width does 
not match",,Width
Standard polystyrene case,Incorrect width,,Width
Standard polystyrene case,Width not correct,,Width
