Speed_rpm,Cutting_thickness,Mold_height,Cpk
16,1,18,1.12166667
20,1,18,1.1925
16,3,18,1.14166667
20,3,18,1.22166667
16,1,20,1.10666667
20,1,20,1.19666667
16,3,20,1.1575
20,3,20,1.22
16,1,18,1.1425
20,1,18,1.20666667
16,3,18,1.13666667
20,3,18,1.21583333
16,1,20,1.08583333
20,1,20,1.2125
16,3,20,1.1525
20,3,20,1.2275
16,1,18,1.10666667
20,1,18,1.18666667
16,3,18,1.1225
20,3,18,1.24416667
16,1,20,1.08583333
20,1,20,1.22166667
16,3,20,1.19583333
20,3,20,1.25083333
18,2,19,1.521
18,2,19,1.481
18,2,19,1.321
18,2,19,1.512
